0,5581,7245
1,9031,2705
2,5435,8964
3,6103,8672
4,5606,9821
5,3081,6497
6,971,8878
7,9076,1356
8,6134,8667
9,4645,389
10,3752,9343
11,4069,6325
12,7343,1363
13,5136,6855
14,9589,6935
15,7,190
16,1627,3497
17,8046,9877
18,5542,109
19,1548,6184
20,8621,1945
21,5792,9692
22,1954,1635
23,5918,8978
24,7118,9331
25,9145,24
26,1040,753
27,5615,3561
28,4017,2610
29,4131,1594
30,1718,4874
31,7835,3187
32,1386,2796
33,107,7525
34,9649,5026
35,2057,5891
36,5251,6430
37,7649,6290
38,9918,7481
39,1942,1024
40,7510,9728
41,3842,6811
42,7786,4633
43,1813,7607
44,1859,5922
45,7167,5509
46,8870,9726
47,7532,4137
48,5647,2389
49,2266,7974
