7705,5170,5566
9065,158,3787
16697,4676,1211
17388,5350,6759
20414,5760,4460
22251,6991,2381
27542,9081,7778
28724,4747,2878
29242,2874,739
30829,8115,7651
33332,277,9958
35802,7115,3804
39890,347,3062
41791,2635,6562
45857,6178,750
53850,7802,2796
58988,4275,3
66128,1646,573
69965,5022,7656
71891,7928,2786
79701,6834,6991
89762,7087,397
89853,623,5993
90807,3503,6817
115887,2242,6078
118893,6170,1265
124099,3765,6224
126638,5041,7635
139049,1726,2698
143062,5556,6546
147864,6483,4459
160289,9237,4160
163467,9832,1672
181885,2425,8104
182300,6369,4829
182692,7144,311
188363,3403,5632
190456,7236,5922
194347,177,7977
197329,9550,1152
208364,7483,4776
212116,3693,3432
221677,2589,7943
223889,1448,5523
226144,4273,5079
228757,498,5322
229203,3925,2482
229397,4089,816
231504,6409,2000
234480,5475,4620
255873,8739,7622
264776,2297,6834
269413,3172,4226
270171,2743,9144
271784,8304,2179
271856,2663,1027
273610,2812,5432
306273,4089,5533
308459,6854,445
310517,1071,1980
312841,3245,6523
314163,2929,7588
322282,3725,101
325072,2084,9805
335204,7922,1724
342299,7153,4627
343380,3798,6538
343556,4867,8866
361487,335,1984
361764,4205,4958
366353,8261,1498
374136,2290,4175
374319,8437,960
378363,847,1918
382177,707,5925
383983,1612,6229
386726,4564,4501
388340,3430,840
392168,4782,8540
392680,1438,8878
392757,602,1913
394624,6142,9016
399864,1168,4489
414103,7998,3187
422555,9883,9994
426067,1391,2849
426729,5443,7726
430242,7607,8047
431307,304,5471
439149,5809,117
439185,7630,8970
445924,4962,2954
451270,3079,8462
458287,9779,6291
461363,1106,7000
464894,9851,695
485276,8809,5947
487141,8016,780
495370,5771,3125
496366,3556,7678
